salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
14k-25k,深圳,3-5年,南山区,150-500人,深圳市盖威科技有限公司,金融,"绩效奖金,五险一金,交通补助,带薪年假,","中级,后端开发,node.js,后端,",开发/测试/运维类,"氛围好,平台大,福利好,技术革新",python后台开发工程师,本科,不需要融资,2017-12-18 14:08:21
15k-25k,深圳,3-5年,宝安区,15-50人,深圳小步网络科技有限公司,移动互联网,"股票期权,定期体检,下午茶,年度旅游,","资深,后端开发,服务器端,linux,",开发/测试/运维类,"待遇优厚,成长空间大,弹性上班,下午茶",Python后台开发工程师,本科,A轮,2017-12-20 10:23:21
18k-25k,深圳,3-5年,南山区,50-150人,武汉烧麦财播科技有限公司,"移动互联网,金融",,"中级,后端,",开发/测试/运维类,"互联网行业,金融业,年轻有活力,学习机会多",Python 开发工程师（深圳）,本科,不需要融资,2017-12-18 14:09:03
15k-30k,深圳,3-5年,南山区,500-2000人,顺丰科技有限公司,"移动互联网,电子商务","技能培训,节日礼物,带薪年假,岗位晋升,","后端开发,linux,MySQL,后端,flask,",开发/测试/运维类,"挑战大,前景好,弹性上班,福利好",python后台开发工程师,本科,不需要融资,2017-12-20 09:45:57
8k-15k,深圳,1-3年,南山区,500-2000人,深圳波罗创意科教有限公司,教育,"技能培训,绩效奖金,管理规范,帅哥多,",,技术,高逼格办公环境、乐高随便玩、弹性工作制,Python工程师,本科,未融资,2017-12-19 14:45:04
15k-30k,深圳,3-5年,南山区,150-500人,岩心科技（深圳）有限公司,"移动互联网,金融","美女如云,股票期权,高速发展,扁平管理,","资深,高级,大数据,Java,",开发/测试/运维类,"牛逼的伙伴,专注的开发,舒服的氛围,薪酬待遇",Python后台开发/数据平台/Senior,本科,B轮,2017-12-20 09:31:41
15k-25k,深圳,1-3年,福田区,50-150人,深圳市万事富科技有限公司,"移动互联网,电子商务","技能培训,年底双薪,绩效奖金,岗位晋升,","爬虫,自然语言处理,",开发/测试/运维类,"发展前景,晋升空间,五险一金,年轻团队",Python开发工程师,大专,A轮,2017-12-20 09:54:26
15k-30k,深圳,3-5年,福田区,2000人以上,平安科技（深圳）有限公司,金融,"节日礼物,年度旅游,岗位晋升,技能培训,","资深,高级,C++,Java,",开发/测试/运维类,世界500强，丰厚奖金,Python开发工程师（深圳）,本科,不需要融资,2017-12-15 10:26:29
9k-18k,深圳,1-3年,南山区,50-150人,深圳奥比中光科技有限公司,"移动互联网,其他","技能培训,节日礼物,年底双薪,股票期权,","php,后端,",开发/测试/运维类,"发展空间大,研发消费级",python开发运维工程师,本科,C轮,2017-12-20 14:32:45
15k-30k,深圳,3-5年,宝安区,500-2000人,北京千锋互联科技有限公司,移动互联网,"节日礼物,专项奖金,股票期权,带薪年假,","云计算,职业培训,培训,Java,",其他,"五险一金,五天八小时,旅游,晋升",Python讲师,大专,A轮,2017-12-20 10:10:03
15k-25k,深圳,3-5年,宝安区,15-50人,深圳市奇乐互娱科技有限公司,"移动互联网,游戏","绩效奖金,带薪年假,交通补助,年度旅游,","游戏,软件开发,",开发/测试/运维类,"周末双休,五险一金,员工旅游,年终奖金",Python游戏开发工程师,本科,不需要融资,2017-12-15 09:44:54
15k-20k,深圳,3-5年,南山区,150-500人,深圳市泽林信息咨询有限公司,教育,"节日礼物,技能培训,绩效奖金,年度旅游,","爬虫,数据分析,运维,django,",开发/测试/运维类,"技术提升,学习机会多,氛围好",Python讲师,本科,不需要融资,2017-12-20 09:12:16
15k-25k,深圳,3-5年,南山区,15-50人,深圳海链科技有限公司,金融,"年底双薪,股票期权,带薪年假,交通补助,","金融,资深,后端开发,服务器端,MySQL,",开发/测试/运维类,"腾讯系,技术导向,福利好",Python 后台工程师,本科,A轮,2017-12-19 10:17:03
15k-30k,深圳,1-3年,南山区,15-50人,深圳市一面网络技术有限公司,"移动互联网,数据服务","技能培训,海归精英团队,Geek分享,绩效奖金,","大数据,数据分析,",开发/测试/运维类,"五险一金,丰厚年终奖,年度体检,年度旅游",Python工程师（数据平台）,本科,A轮,2017-12-13 12:08:04
10k-15k,深圳,1-3年,南山区,150-500人,上海奥飞游戏有限公司,游戏,,"linux,php,运维,",开发/测试/运维类,"靠谱团队,项目给力,福利多多",Python开发工程师,大专,A轮,2017-12-20 09:58:08
15k-20k,深圳,1-3年,南山区,50-150人,上海胜日信息科技有限公司,移动互联网,"绩效奖金,年底双薪,五险一金,带薪年假,","高级,php,Java,MySQL,",开发/测试/运维类,"良好的发展,人性化管理",python开发工程师,本科,B轮,2017-12-18 11:36:26
15k-30k,深圳,3-5年,南山区,50-150人,深圳市爱邮网络科技有限公司,"移动互联网,电子商务","专项奖金,带薪年假,扁平管理,免费班车,","php,Java,MySQL,",开发/测试/运维类,"牛逼的团队,互联网电商,年轻化团队",python工程师,本科,不需要融资,2017-11-27 10:29:58
15k-25k,深圳,1-3年,南山区,150-500人,深圳市新华云帆科技有限公司,数据服务,"年底双薪,节日礼物,春节16天假,带薪年假,","php,后端,",开发/测试/运维类,"弹性上下班,餐饮补助,定期体检,16天年假",python/golang后台开发,本科,B轮,2017-12-20 09:28:12
10k-20k,深圳,3-5年,南山区,2000人以上,华润置地有限公司,其他,"带薪年假,绩效奖金,岗位晋升,管理规范,","后端开发,大数据,MySQL,",开发/测试/运维类,"500强,创新业务,福利好",数据工程师（Python）,本科,上市公司,2017-12-11 09:43:24
8k-15k,深圳,不限,南山区,50-150人,深圳市编玩边学教育科技有限公司,"教育,游戏","专项奖金,股票期权,绩效奖金,午餐补助,","教育,游戏,硬件制造,爬虫,音视频,树莓派,",开发/测试/运维类,"五险一金,节日福利,餐饮补贴,运动健身",代码编程老师（Python）,本科,A轮,2017-12-20 09:07:27
10k-15k,深圳,1-3年,南山区,150-500人,深圳市富士智能系统有限公司,其他,"定期体检,丰厚年终奖,旅游,节日福利,","云计算,linux,MySQL,",开发/测试/运维类,"平台大,福利好",python开发工程师,本科,不需要融资,2017-12-18 14:26:18
16k-30k,深圳,3-5年,福田区,150-500人,乐格商业咨询（深圳）有限公司,"企业服务,数据服务","节日礼物,技能培训,职业发展预期,岗位晋升,","后端开发,架构,",开发/测试/运维类,"精英团队,个人成长,外企文化,创业精神",Python高级开发工程师,本科,A轮,2017-12-18 22:15:57
15k-30k,深圳,3-5年,福田区,2000人以上,万科物业发展有限公司,"O2O,生活服务","社区o2o,原始股权,弹性工作制,互联网+,","资深,高级,中级,后端开发,redis,",开发/测试/运维类,"平台好,空间大",Python开发工程师,本科,不需要融资,2017-12-20 09:20:01
8k-16k,深圳,1-3年,南山区,2000人以上,深圳市彬讯科技有限公司,"移动互联网,O2O","股票期权,五险一金,带薪年假,节日礼物,",,技术,良好的团队技术氛围，晋升空间大,数据平台开发工程师（Python）,本科,C轮,2017-12-14 11:00:55
15k-25k,深圳,3-5年,南山区,15-50人,深圳市泛娱科技有限公司,"移动互联网,游戏","年底双薪,午餐补助,定期体检,弹性工作,","云计算,自动化,数据库,linux,系统工程师,",开发/测试/运维类,"福利好,年底双薪,与大牛共事",高级运维开发工程师(Python),大专,B轮,2017-12-08 13:36:49
25k-45k,深圳,3-5年,南山区,500-2000人,厦门美图之家科技有限公司,"移动互联网,硬件","节日礼物,与大牛共事,福利健全,五险一金,","国际化产品,",开发/测试/运维类,"国际化产品,竞争力薪资,中美团队",高级后台工程师-Python（大数据&amp;AI）,本科,上市公司,2017-12-20 09:30:33
7k-10k,深圳,1年以下,南山区,150-500人,深圳市瑞云科技有限公司,"移动互联网,文化娱乐","节日礼物,带薪年假,绩效奖金,岗位晋升,","linux,Java,",开发/测试/运维类,"多次调薪,绩效奖金,岗位晋升",Python开发工程师,本科,A轮,2017-12-18 09:49:07
15k-30k,深圳,3-5年,南山区,500-2000人,深圳市华海乐盈网络科技有限公司,移动互联网,"节日礼物,专项奖金,带薪年假,岗位晋升,","信息安全,软件开发,linux,运维,网络安全,",开发/测试/运维类,"弹性双休,福利待遇,发展平台,工作氛围",安全开发工程师（Python开发）,本科,不需要融资,2017-12-06 10:54:24
20k-30k,深圳,3-5年,南山区,50-150人,深圳手势科技有限公司,"移动互联网,文化娱乐","股票期权,年终分红,帅哥多,弹性工作,","资深,后端开发,服务器端,Ruby,",开发/测试/运维类,"高薪,实力派公司,超好平台,晋升快速",Python高级开发工程师,本科,A轮,2017-12-19 10:41:59
15k-20k,深圳,1-3年,罗湖区,2000人以上,携程计算机技术（上海）有限公司,"移动互联网,旅游","绩效奖金,股票期权,五险一金,交通补助,","资深,php,后端,系统开发,",开发/测试/运维类,互联网企业十强，大平台，高发展空间！,Python运维开发工程师,大专,上市公司,2017-12-18 09:48:08
14k-18k,深圳,3-5年,南山区,15-50人,深圳网脊科技开发有限公司,"移动互联网,企业服务","股票期权,绩效奖金,岗位晋升,年度旅游,","云计算,php,MySQL,后端,运维开发,",技术,"待遇丰厚,工作环境好,双休",python开发工程师,大专,A轮,2017-12-19 14:41:04
15k-30k,深圳,3-5年,南山区,150-500人,岩心科技（深圳）有限公司,"移动互联网,金融","美女如云,股票期权,高速发展,扁平管理,","资深,数据分析,大数据,hadoop,",开发/测试/运维类,"数据建模,机器学习,专注专业",高级Python工程师/面向对象高级Python工,本科,B轮,2017-12-12 11:51:53
15k-30k,深圳,3-5年,南山区,50-150人,深圳市爱邮网络科技有限公司,"移动互联网,电子商务","专项奖金,带薪年假,扁平管理,免费班车,","php,Java,",开发/测试/运维类,"技术大牛,工作氛围好,boss牛",python工程师,本科,不需要融资,2017-11-27 10:31:13
10k-20k,深圳,3-5年,南山区,150-500人,深圳市斯凯荣科技有限公司,移动互联网,"帅哥萌妹多,带薪年假,绩效奖金,年度旅游,","Java,MySQL,系统开发,",开发/测试/运维类,"自由,nice",Python开发工程师,本科,C轮,2017-11-22 15:09:25
2k-4k,深圳,不限,龙岗区,50-150人,深圳市金帆电子有限公司,移动互联网,,"数据分析,数据挖掘,",开发/测试/运维类,"热门,待遇好",Python大数据开发工程师,不限,不需要融资,2017-12-18 11:27:21
12k-24k,深圳,1-3年,南山区,15-50人,智言科技(深圳)有限公司,"数据服务,其他","年底双薪,绩效奖金,通讯津贴,扁平管理,","高级,中级,后端开发,爬虫,全栈,",开发/测试/运维类,"大牛团队,扁平化管理,薪酬福利优,发展空间大",Python开发工程师,本科,天使轮,2017-12-18 10:30:02
20k-30k,深圳,5-10年,南山区,15-50人,皓量科技（深圳）有限公司,移动互联网,"节日礼物,技能培训,股票期权,绩效奖金,","移动互联网,资深,架构,广告移动营销,",开发/测试/运维类,"五险一金,周末双休,带薪年假,公司前景好",高级Python开发工程师,本科,天使轮,2017-12-11 10:02:53
15k-30k,深圳,3-5年,南山区,少于15人,深圳呗佬科技有限公司,移动互联网,,"云计算,大数据,Java,",开发/测试/运维类,"硅谷技术,AI领域",python开发工程师,大专,天使轮,2017-11-29 18:06:31
15k-30k,深圳,3-5年,南山区,2000人以上,腾讯科技(深圳)有限公司,"移动互联网 ,游戏","免费班车,成长空间,年度旅游,岗位晋升,","大数据,数据挖掘,算法,",开发/测试/运维类,"大数据,新产品,大平台",python后台高级工程师,本科,上市公司,2017-12-14 11:15:36
6k-12k,深圳,1-3年,南山区,50-150人,深圳市瑞驰信息技术有限公司,"数据服务,信息安全",,"软件开发,js,redis,AngularJS,",开发/测试/运维类,"两次调薪,股权激励,双休,年终奖",python开发工程师,大专,A轮,2017-12-19 09:40:14
2k-4k,深圳,不限,龙岗区,50-150人,深圳市中芯微智能有限公司,移动互联网,,"数据分析,大数据,",开发/测试/运维类,"高薪,工作环境好,热门",Python,不限,不需要融资,2017-12-18 11:42:06
10k-12k,深圳,1-3年,罗湖区,50-150人,深圳市信瑞泰支付服务有限公司,金融,,"软件开发,php,Java,MySQL,",开发/测试/运维类,"带薪年假,五险,提供住宿,员工旅游",Python工程师,大专,不需要融资,2017-12-19 09:00:46
15k-25k,深圳,5-10年,南山区,500-2000人,深圳波罗创意科教有限公司,教育,"技能培训,绩效奖金,管理规范,帅哥多,",,技术,双休 不打卡 教育行业 创业公司 挑战大,高级Python后台开发工程师,本科,未融资,2017-12-19 15:07:54
14k-18k,深圳,3-5年,南山区,15-50人,深圳网脊科技开发有限公司,"移动互联网,企业服务","股票期权,绩效奖金,岗位晋升,年度旅游,","云计算,后端,",技术,"待遇丰厚,工作环境好,双休",python运维开发工程师,大专,A轮,2017-12-19 14:47:13
15k-30k,深圳,3-5年,南山区,50-150人,深圳手势科技有限公司,"移动互联网,文化娱乐","股票期权,年终分红,帅哥多,弹性工作,","资深,高级,架构师,服务器端,Ruby,",开发/测试/运维类,"独角兽企业,超好团队,高薪高薪,好平台",Python开发,大专,A轮,2017-12-19 10:41:54
8k-16k,深圳,1-3年,龙岗区,2000人以上,有棵树（深圳）网络科技有限公司,电子商务,"技能培训,绩效奖金,岗位晋升,扁平管理,","信息安全,中级,",开发/测试/运维类,"大公司,跨境电商,奖金多",python开发工程师,本科,D轮及以上,2017-12-14 10:46:50
