salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-30k,上海,3-5年,杨浦区,50-150人,上海勃池信息技术有限公司,"金融,数据服务","股票期权,扁平管理,岗位晋升,五险一金,","软件开发,大数据,数据挖掘,",开发/测试/运维类,"年底双薪,地铁周边,发展空间大,周末双休",高级爬虫工程师（Java/Python方向）,本科,天使轮,2017-12-20 11:43:26
12k-20k,上海,3-5年,浦东新区,15-50人,上海杉科机器人科技有限公司,电子商务,,"资深,C/C++,Java,人工智能领域,",开发/测试/运维类,"五险一金,各种福利,挑战性,团队优秀","高级系统分析师（C++,Python）",本科,未融资,2017-11-21 09:34:57
15k-25k,上海,3-5年,浦东新区,150-500人,我查查信息技术（上海）有限公司,移动互联网,"技能培训,年底双薪,绩效奖金,岗位晋升,",,开发/测试/运维类,"亿级APP,福利待遇好,办公环境好,年底多薪",iOS工程师（会PHP或Python优先）,本科,不需要融资,2017-12-18 15:38:44
12k-18k,上海,3-5年,浦东新区,2000人以上,腾讯科技(北京)有限公司,移动互联网,"节日礼物,技能培训,免费娱乐设施,岗位晋升,","媒体,社交,大数据,Java,MySQL,",开发/测试/运维类,"大数据,Vue",web后端开发(PHP，python),本科,上市公司,2017-12-13 16:54:30
15k-20k,上海,1-3年,浦东新区,150-500人,上海积善商务咨询有限公司,"移动互联网,信息安全",""""",","中级,",开发/测试/运维类,"高薪,高能,自由活跃",Python工程师（爬虫）,本科,不需要融资,2017-12-21 08:48:25
20k-30k,上海,3-5年,静安区,50-150人,壹沓科技（上海）有限公司,"数据服务,广告营销",,"征信,Java,flask,scrappy,",开发/测试/运维类,"年度旅游,股票期权,美女多,不打卡",高级Python爬虫开发工程师,本科,未融资,2017-12-14 13:36:36
18k-25k,上海,3-5年,浦东新区,2000人以上,北京塔塔信息咨询有限公司,金融,"年底双薪,带薪年假,岗位晋升,定期体检,","中级,mfc,qt,VB,",开发/测试/运维类,"外资投行,福利完善,项目稳定,流程规范",软件工程师Perl/python/C++/java,本科,上市公司,2017-12-04 18:20:03
10k-20k,上海,1-3年,静安区,少于15人,上海芝诺网络科技有限公司,"移动互联网,社交网络","股票期权,带薪年假,绩效奖金,岗位晋升,","运营,php,web,",开发/测试/运维类,"靠谱团队,项目前景好,合伙人,有融资",Python-创业合伙人,不限,天使轮,2017-12-18 09:53:47
10k-15k,上海,3-5年,闵行区,15-50人,上海材参信息技术有限公司,数据服务,,"js,Java,",开发/测试/运维类,"上升空间大,弹性工时,小吃茶饮,肺腑团建",后端开发工程师（Ruby/PHP/Python/N,本科,未融资,2017-11-21 17:45:58
12k-20k,上海,1-3年,杨浦区,500-2000人,上海优刻得信息科技有限公司,"数据服务,企业服务","节日礼物,技能培训,股权激励计划,代码改变世界,","硬件制造,后端开发,linux,",开发/测试/运维类,"技术挑战,奖金丰厚,弹性工作,公司D轮",OPL-python运维开发J10605,本科,D轮及以上,2017-12-21 01:07:25
10k-20k,上海,1-3年,杨浦区,500-2000人,上海优刻得信息科技有限公司,"数据服务,企业服务","节日礼物,技能培训,股权激励计划,代码改变世界,","云计算,开发工程师,",技术,快速发展,UMCloud-Python后端工程师,本科,D轮及以上,2017-12-21 01:07:27
15k-25k,上海,1-3年,普陀区,2000人以上,拉扎斯网络科技（上海）有限公司,移动互联网,"节日礼物,绩效奖金,年度旅游,岗位晋升,","本地生活,",开发/测试/运维类,弹性工作制 发展空间 年终奖,Python开发工程师（机器学习）,不限,D轮及以上,2017-12-20 15:44:57
15k-25k,上海,1-3年,普陀区,2000人以上,拉扎斯网络科技（上海）有限公司,移动互联网,"节日礼物,绩效奖金,年度旅游,岗位晋升,","本地生活,",开发/测试/运维类,弹性工作制 年终奖 发展空间 节日福利,Python开发工程师（全栈）,不限,D轮及以上,2017-12-20 15:44:57
12k-24k,上海,1-3年,杨浦区,500-2000人,上海优刻得信息科技有限公司,"数据服务,企业服务","节日礼物,技能培训,股权激励计划,代码改变世界,","Node.js,",技术,快速发展,C++/Php/Python/Nodejs开发工程师,本科,D轮及以上,2017-12-21 01:07:26
