work_location,publish_time,position_category,position_link,hiring_number,position_name
北京,2017-12-15,技术类,http://hr.tencent.com/position_detail.php?id=29353&keywords=&tid=0&lid=0,1,OMG097-后台开发工程师（北京）
深圳,2017-12-15,技术类,http://hr.tencent.com/position_detail.php?id=29876&keywords=&tid=0&lid=0,2,GY0-JOOX 后台开发工程师（深圳）
深圳,2017-12-15,市场类,http://hr.tencent.com/position_detail.php?id=32246&keywords=&tid=0&lid=0,1,SNG06-鹅漫U品影视IP商务经理（深圳）
深圳,2017-12-14,产品/项目类,http://hr.tencent.com/position_detail.php?id=32143&keywords=&tid=0&lid=0,2,17520-自研游戏策划（深圳）
深圳,2017-12-14,技术类,http://hr.tencent.com/position_detail.php?id=35048&keywords=&tid=0&lid=0,6,SNG11-人工智能研究员（深圳）
北京,2017-12-14,内容编辑类,http://hr.tencent.com/position_detail.php?id=35031&keywords=&tid=0&lid=0,1,23672-腾讯新闻视频拍客编辑（北京）
深圳,2017-12-14,产品/项目类,http://hr.tencent.com/position_detail.php?id=35022&keywords=&tid=0&lid=0,1,TEG05-高级产品策划经理（深圳）
北京,2017-12-14,,http://hr.tencent.com/position_detail.php?id=35011&keywords=&tid=0&lid=0,1,14914-信息传播公关经理（深圳）
广州,2017-12-14,市场类,http://hr.tencent.com/position_detail.php?id=35001&keywords=&tid=0&lid=0,2,OMG192-腾讯广告华南渠道销售经理（广州）
深圳,2017-12-14,技术类,http://hr.tencent.com/position_detail.php?id=27275&keywords=&tid=0&lid=0,1,18435-高级反洗钱合规管理（深圳）
杭州,2017-12-14,技术类,http://hr.tencent.com/position_detail.php?id=30495&keywords=&tid=0&lid=0,1,SNG02-QQ物联C++开发工程师（杭州）
北京,2017-12-14,产品/项目类,http://hr.tencent.com/position_detail.php?id=32903&keywords=&tid=0&lid=0,1,23048-PC浏览器产品经理（北京）
深圳,2017-12-14,产品/项目类,http://hr.tencent.com/position_detail.php?id=33560&keywords=&tid=0&lid=0,1,21309-数据分析产品经理（深圳）
深圳,2017-12-14,产品/项目类,http://hr.tencent.com/position_detail.php?id=33580&keywords=&tid=0&lid=0,2,17229-SLG游戏策划（深圳）
深圳,2017-12-14,技术类,http://hr.tencent.com/position_detail.php?id=32963&keywords=&tid=0&lid=0,4,19116-互联网+nodejs前端开发工程师（深圳）
深圳,2017-12-14,技术类,http://hr.tencent.com/position_detail.php?id=30488&keywords=&tid=0&lid=0,1,HY1-高级运维工程师（深圳）
深圳,2017-12-13,产品/项目类,http://hr.tencent.com/position_detail.php?id=33861&keywords=&tid=0&lid=0,1,22989-腾讯专有云高级产品经理(平台)（深圳）
深圳,2017-12-13,技术类,http://hr.tencent.com/position_detail.php?id=34987&keywords=&tid=0&lid=0,2,22989-腾讯云serverless高级后台开发工程师（深圳）
深圳,2017-12-13,内容编辑类,http://hr.tencent.com/position_detail.php?id=34913&keywords=&tid=0&lid=0,1,SNG06-手Q漫画版权运营专员（深圳）
深圳,2017-12-13,技术类,http://hr.tencent.com/position_detail.php?id=34978&keywords=&tid=0&lid=0,1,20016-天美测试工程师（深圳）
北京,2017-12-13,技术类,http://hr.tencent.com/position_detail.php?id=34965&keywords=&tid=0&lid=0,2,MIG16-自动驾驶三维感知算法工程师（北京）
深圳,2017-12-13,产品/项目类,http://hr.tencent.com/position_detail.php?id=33519&keywords=&tid=0&lid=0,1,17229-射击游戏数值策划（深圳）
成都,2017-12-13,技术类,http://hr.tencent.com/position_detail.php?id=32942&keywords=&tid=0&lid=0,2,SNG07-云测试高级工程师（成都）
深圳,2017-12-13,产品/项目类,http://hr.tencent.com/position_detail.php?id=33477&keywords=&tid=0&lid=0,1,GY0-海外社交广告运营经理（深圳）
北京,2017-12-13,产品/项目类,http://hr.tencent.com/position_detail.php?id=33546&keywords=&tid=0&lid=0,1,MIG16-腾讯地图产品运营——用户运营
深圳,2017-12-12,技术类,http://hr.tencent.com/position_detail.php?id=34941&keywords=&tid=0&lid=0,1,MIG09-图像算法高级工程师
北京,2017-12-12,市场类,http://hr.tencent.com/position_detail.php?id=34962&keywords=&tid=0&lid=0,1,22850-会员数据产品分析师
深圳,2017-12-12,市场类,http://hr.tencent.com/position_detail.php?id=30943&keywords=&tid=0&lid=0,2,23295-媒介经理（产品传播方向）（深圳）
深圳,2017-12-12,产品/项目类,http://hr.tencent.com/position_detail.php?id=27108&keywords=&tid=0&lid=0,2,SNG03-直播产品内容运营经理（深圳）
深圳,2017-12-12,技术类,http://hr.tencent.com/position_detail.php?id=31571&keywords=&tid=0&lid=0,1,22989-腾讯云运维交付工程师（深圳）
上海,2017-12-12,产品/项目类,http://hr.tencent.com/position_detail.php?id=27722&keywords=&tid=0&lid=0,1,15573-SLG类手游商业化策划（上海）
深圳,2017-12-12,设计类,http://hr.tencent.com/position_detail.php?id=33454&keywords=&tid=0&lid=0,1,HY1-游戏3D设计师（深圳）
深圳,2017-12-12,职能类,http://hr.tencent.com/position_detail.php?id=32926&keywords=&tid=0&lid=0,2,S2-高级IT审计经理（深圳）
深圳,2017-12-12,技术类,http://hr.tencent.com/position_detail.php?id=29306&keywords=&tid=0&lid=0,1,MIG12-数据平台架构师（深圳）
深圳,2017-12-12,产品/项目类,http://hr.tencent.com/position_detail.php?id=32910&keywords=&tid=0&lid=0,1,15571-FPS手游高级数值策划（深圳）
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=32845&keywords=&tid=0&lid=0,2,CS-c/c++后台开发工程师（深圳）
深圳,2017-12-11,产品/项目类,http://hr.tencent.com/position_detail.php?id=34934&keywords=&tid=0&lid=0,2,22989-腾讯云政务民生业务中心行业运营(深圳)
深圳,2017-12-11,产品/项目类,http://hr.tencent.com/position_detail.php?id=34923&keywords=&tid=0&lid=0,1,21090-沙盒枪战类游戏版本管理（深圳）
深圳,2017-12-11,产品/项目类,http://hr.tencent.com/position_detail.php?id=34912&keywords=&tid=0&lid=0,1,TEG04-腾讯乐享产品运营经理（深圳）
北京,2017-12-11,市场类,http://hr.tencent.com/position_detail.php?id=34943&keywords=&tid=0&lid=0,1,22968-华北消电IT金融策划经理
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=34898&keywords=&tid=0&lid=0,2,22989-腾讯云认证生态架构师（深圳）
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=34891&keywords=&tid=0&lid=0,1,SA-腾讯社交广告客户端Android开发工程师（内广方向 深圳）
上海,2017-12-11,市场类,http://hr.tencent.com/position_detail.php?id=34879&keywords=&tid=0&lid=0,3,OMG192-互联网广告渠道销售经理（上海）
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=34897&keywords=&tid=0&lid=0,2,MIG12-技术运营工程师（深圳）
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=32829&keywords=&tid=0&lid=0,2,22989-腾讯云API平台研发工程师
深圳,2017-12-11,产品/项目类,http://hr.tencent.com/position_detail.php?id=32849&keywords=&tid=0&lid=0,2,SNG02-腾讯云行业高级运营经理（深圳）
上海,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=33418&keywords=&tid=0&lid=0,1,SNG08-社交平台iOS开发工程师（上海）
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=33419&keywords=&tid=0&lid=0,1,22989-腾讯云WEB前端开发（深圳）
